,Name,EFF,College,Position,Number of Players
0,AJ Price,110,University of Connecticut,PG,1
4,Al Horford,1530,University of Florida,C,1
12,Andre Dawkins,0,Duke University,SG,1
13,Andre Drummond,1705,University of Connecticut,C,1
20,Anthony Davis,2059,University of Kentucky,PF,1
22,Archie Goodwin,184,University of Kentucky,SG,1
25,Arron Afflalo,803,"University of California, Los Angeles",SG,1
27,Austin Rivers,500,Duke University,SG,1
28,Avery Bradley,835,University of Texas at Austin,SG,1
29,Ben Gordon,245,University of Connecticut,SG,1
33,Bradley Beal,844,University of Florida,SG,1
36,Brandon Knight,1014,University of Kentucky,SG,1
38,Brendan Haywood,46,University of North Carolina,C,1
45,Carlos Boozer,946,Duke University,PF,1
47,Caron Butler,492,University of Connecticut,SF,1
49,Chandler Parsons,1013,University of Florida,SF,1
59,Chuck Hayes,98,University of Kentucky,C,1
63,Corey Brewer,869,University of Florida,SF,1
65,Cory Joseph,669,University of Texas at Austin,PG,1
67,D.J. Augustin,782,University of Texas at Austin,PG,1
68,Dahntay Jones,19,Duke University,SF,1
71,Danny Green,1110,University of North Carolina,SG,1
73,Darius Miller,-1,University of Kentucky,SF,1
76,Darren Collison,760,"University of California, Los Angeles",PG,1
77,David Lee,549,University of Florida,PF,1
83,DeMarcus Cousins,1631,University of Kentucky,C,1
99,Ed Davis,1155,University of North Carolina,PF,1
101,Elton Brand,178,Duke University,C,1
102,Eric Bledsoe,1525,University of Kentucky,PG,1
113,Gerald Henderson,901,Duke University,SG,1
123,Harrison Barnes,1023,University of North Carolina,SF,1
139,James Michael McAdoo,78,University of North Carolina,PF,1
149,Jeff Adrien,115,University of Connecticut,PF,1
157,Jeremy Lamb,294,University of Connecticut,SG,1
165,JJ Redick,1022,Duke University,SG,1
166,Joakim Noah,1136,University of Florida,C,1
167,Jodie Meeks,527,University of Kentucky,SG,1
172,John Henson,708,University of North Carolina,C,1
177,Jordan Adams,87,"University of California, Los Angeles",SG,1
179,Jordan Farmar,171,"University of California, Los Angeles",PG,1
180,Jordan Hamilton,38,University of Texas at Austin,SF,1
183,Josh McRoberts,113,Duke University,PF,1
184,Jrue Holiday,689,"University of California, Los Angeles",PG,1
185,Julius Randle,-3,University of Kentucky,PF,1
191,Kemba Walker,981,University of Connecticut,PG,1
192,Kendall Marshall,162,University of North Carolina,PG,1
197,Kevin Durant,695,University of Texas at Austin,SF,1
198,Kevin Love,1493,"University of California, Los Angeles",PF,1
206,Kyle Anderson,123,"University of California, Los Angeles",SF,1
210,Kyle Singler,486,Duke University,SF,1
211,Kyrie Irving,1495,Duke University,PG,1
212,LaMarcus Aldridge,1693,University of Texas at Austin,PF,1
216,Larry Drew II,48,"University of California, Los Angeles",PG,1
221,Luc Mbah a Moute,645,"University of California, Los Angeles",PF,1
224,Luol Deng,1023,Duke University,SF,1
225,Malcolm Thomas,73,"University of California, Los Angeles",SG,1
231,Marreese Speights,804,University of Florida,C,1
232,Marvin Williams,798,University of North Carolina,PF,1
233,Mason Plumlee,956,Duke University,C,1
234,Matt Barnes,842,"University of California, Los Angeles",SF,1
235,Matt Bonner,294,University of Florida,PF,1
241,Michael Kidd-Gilchrist,774,University of Kentucky,SF,1
243,Mike Dunleavy,668,Duke University,SF,1
244,Mike Miller,163,University of Florida,SF,1
247,Miles Plumlee,562,Duke University,C,1
250,Nazr Mohammed,51,University of Kentucky,C,1
251,Nerlens Noel,1171,University of Kentucky,C,1
252,Nick Calathes,338,University of Florida,SG,1
269,PJ Hairston,192,University of North Carolina,SG,1
273,Rajon Rondo,990,University of Kentucky,PG,1
278,Raymond Felton,106,University of North Carolina,PG,1
279,Reggie Bullock,84,University of North Carolina,SF,1
286,Rodney Hood,392,Duke University,SG,1
290,Rudy Gay,1346,University of Connecticut,SF,1
293,Ryan Hollins,202,"University of California, Los Angeles",C,1
294,Ryan Kelly,366,Duke University,PF,1
297,Seth Curry,0,Duke University,PG,1
298,Shabazz Muhammad,456,"University of California, Los Angeles",SG,1
301,Shavlik Randolph,39,Duke University,PF,1
315,Tayshaun Prince,506,University of Kentucky,SF,1
316,Terrence Jones,504,University of Kentucky,PF,1
326,Trevor Ariza,1179,"University of California, Los Angeles",SF,1
330,Ty Lawson,1393,University of North Carolina,PG,1
332,Tyler Hansbrough,460,University of North Carolina,PF,1
335,Udonis Haslem,407,University of Florida,PF,1
338,Vince Carter,327,University of North Carolina,SG,1
339,Wayne Ellington,575,University of North Carolina,SG,1
348,Zach LaVine,720,"University of California, Los Angeles",PG,1
