,Name,Birth_Place
0,Al Horford,do
1,Alex Len,ua
2,Alexey Shved,ru
3,Alexis Ajinca,fr
4,Andrea Bargnani,it
5,Andrei Kirilenko,ru
6,Andrew Bogut,au
7,Andrew Nicholson,ca
8,Anthony Bennett,ca
9,Aron Baynes,nz
10,Ben Gordon,gb
11,Bismack Biyombo,cd
12,Bojan Bogdanovic,ba
13,Boris Diaw,fr
14,Bruno Caboclo,br
15,Cameron Bairstow,au
16,Carlos Boozer,de
17,Clint Capela,ch
18,Cory Joseph,ca
19,Damjan Rudez,hr
20,Danilo Gallinari,it
21,Dante Exum,au
22,Dennis Schroder,de
23,Dirk Nowitzki,de
24,Donatas Motiejunas,lt
25,Dwight Powell,ca
26,Enes Kanter,ch
27,Ersan Ilyasova,tr
28,Evan Fournier,fr
29,Evan Turner,ng
30,Francisco Garcia,do
31,Furkan Aldemir,tr
32,Gal Mekel,il
33,Giannis Antetokounmpo,gr
34,Goran Dragic,si
35,Gorgui Dieng,sn
36,Greivis Vasquez,ve
37,Ian Mahinmi,fr
38,J.J. Barea,pr
39,Jeffery Taylor,se
40,Jerome Jordan,jm
41,Joe Ingles,au
42,Joel Anthony,ca
43,Joel Freeland,gb
44,Joffrey Lauvergne,fr
45,Jonas Jerebko,se
46,Jonas Valanciunas,lt
47,Jorge Gutierrez,mx
48,Jose Calderon,es
49,Kelly Olynyk,ca
50,Kevin Seraphin,gf
51,Kostas Papanikolaou,gr
52,Kyrie Irving,au
53,Leandro Barbosa,br
54,Luc Mbah a Moute,cm
55,Lucas Nogueira,br
56,Luis Scola,ar
57,Luol Deng,ss
58,Manu Ginobili,ar
59,Marc Gasol,es
60,Marcin Gortat,pl
61,Marco Belinelli,it
62,Matthew Dellavedova,au
63,Nene,br
64,Nicolas Batum,fr
65,Nik Stauskas,ca
66,Nikola Mirotic,me
67,Nikola Vucevic,ch
68,Ognjen Kuzmic,ba
69,Omer Asik,tr
70,Omri Casspi,il
71,Pablo Prigioni,ar
72,Patty Mills,au
73,Pau Gasol,es
74,Pero Antic,mk
75,Reggie Jackson,it
76,Rudy Gobert,fr
77,Samuel Dalembert,ht
78,Serge Ibaka,cg
79,Sergey Karasev,ru
80,Sim Bhullar,ca
81,Steven Adams,nz
82,Thabo Sefolosha,ch
83,Tiago Splitter,br
84,Tim Duncan,vi
85,Timofey Mozgov,ru
86,Tony Parker,be
87,Tyler Ennis,ca
88,Victor Claver,es
89,Xavier Henry,be
90,Zaza Pachulia,ge
91,Zoran Dragic,si
