,Name,Games Played,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV,Age,Birthdate,College,Experience,Position,Team
0,Jamal Crawford,64,1703,1010,332,839,39.6,119,364,32.7,227,252,90.1,18,106,124,158,59,14,92,108,741,1.72,0.64,35.0,"March 20, 1980",University of Michigan,14,SG,LAC
1,Jimmy Butler,65,2513,1301,421,912,46.2,73,193,37.8,386,463,83.4,114,265,379,212,114,36,93,108,1381,2.28,1.23,26.0,"September 14, 1989",Marquette University,3,SG,CHI
2,JJ Redick,78,2409,1277,447,938,47.7,200,458,43.7,183,203,90.1,22,145,167,137,39,8,95,134,1022,1.44,0.41,31.0,"June 24, 1984",Duke University,8,SG,LAC
3,Kent Bazemore,75,1324,390,141,331,42.6,48,132,36.4,60,100,60.0,21,201,222,78,52,33,73,127,472,1.07,0.71,26.0,"July 1, 1989",Old Dominion University,2,SG,ATL
4,Tim Hardaway Jr.,70,1681,804,279,717,38.9,121,354,34.2,125,156,80.1,12,144,156,127,20,14,82,119,570,1.55,0.24,23.0,"March 16, 1992",University of Michigan,1,SG,NYK
5,Danny Green,81,2312,946,322,738,43.6,191,457,41.8,111,127,87.4,54,289,343,158,101,87,93,163,1110,1.7,1.09,28.0,"June 22, 1987",University of North Carolina,5,SG,SAS
6,Ian Clark,30,192,57,19,55,34.5,10,30,33.3,9,9,100.0,4,12,16,12,9,3,9,20,52,1.33,1.0,24.0,"March 7, 1991",Belmont University,1,SG,UTA
7,Malcolm Thomas,17,194,45,18,40,45.0,0,7,0.0,9,13,69.2,16,40,56,7,3,1,13,17,73,0.54,0.23,25.0,"May 22, 1990","University of California, Los Angeles",2,SG,PHI
8,Iman Shumpert,62,1545,496,193,471,41.0,67,196,34.2,43,64,67.2,55,169,224,135,81,16,91,138,562,1.48,0.89,25.0,"June 26, 1990",Georgia Institute of Technology,3,SG,NYK
9,Nik Stauskas,73,1127,319,108,296,36.5,48,149,32.2,55,64,85.9,11,77,88,67,20,17,40,92,274,1.68,0.5,22.0,"October 7, 1993",University of Michigan,R,SG,SAC
10,Courtney Lee,77,2354,777,288,643,44.8,90,224,40.2,111,129,86.0,21,157,178,151,75,12,78,129,742,1.94,0.96,30.0,"October 3, 1985",Western Kentucky University,6,SG,MEM
11,Jeremy Lamb,47,633,295,104,250,41.6,38,111,34.2,49,55,89.1,8,99,107,44,21,6,27,52,294,1.63,0.78,23.0,"May 30, 1992",University of Connecticut,2,SG,OKC
12,Toney Douglas,12,177,51,19,51,37.3,5,18,27.8,8,13,61.5,2,20,22,24,11,4,10,20,65,2.4,1.1,29.0,"March 16, 1986",Florida State University,5,SG,NOH
13,Jabari Brown,19,568,227,70,170,41.2,23,62,37.1,64,85,75.3,3,33,36,40,12,2,32,33,164,1.25,0.38,23.0,"December 18, 1992",University of Missouri,R,SG,LAL
14,CJ McCollum,62,973,424,159,365,43.6,55,139,39.6,51,73,69.9,14,77,91,64,43,8,48,81,354,1.33,0.9,24.0,"September 19, 1991",Lehigh University,1,SG,POR
15,Tony Allen,63,1648,539,225,455,49.5,10,29,34.5,79,126,62.7,103,177,280,86,129,30,86,166,701,1.0,1.5,33.0,"January 11, 1982",Oklahoma State University,10,SG,MEM
16,Jodie Meeks,60,1462,663,222,534,41.6,74,212,34.9,145,160,90.6,12,92,104,79,59,6,57,76,527,1.39,1.04,28.0,"August 21, 1987",University of Kentucky,5,SG,DET
17,Chris Douglas-Roberts,12,103,19,5,21,23.8,1,7,14.3,8,8,100.0,1,11,12,4,1,0,0,14,20,0.0,0.0,28.0,"January 8, 1987",University of Memphis,5,SG,LAC
18,Jamaal Franklin,3,13,3,1,2,50.0,1,2,50.0,0,0,0.0,1,1,2,3,0,1,3,4,5,1.0,0.0,24.0,"July 21, 1991",San Diego State University,1,SG,DEN
19,Toure' Murry,5,18,6,2,5,40.0,0,0,0.0,2,2,100.0,1,0,1,1,1,0,4,2,2,0.25,0.25,26.0,"November 8, 1989",Wichita State University,1,SG,WAS
